TRANSPORT
H 0 145.0 2.05 0.0 0.0 0.0
H2 1 38.0 2.92 0.0 0.79 280.0
O 0 80.0 2.75 0.0 0.0 0.0
O2 1 107.4 3.458 0.0 1.6 3.8
OH 1 80.0 2.75 0.0 0.0 0.0
OH* 1 80.0 2.75 0.0 0.0 0.0
H2O 2 572.4 2.605 1.844 0.0 4.0
N2 1 97.53 3.621 0.0 1.76 4.0
HO2 2 107.4 3.458 0.0 0.0 1.0
H2O2 2 107.4 3.458 0.0 0.0 3.8
CO 1 98.1 3.65 0.0 1.95 1.8
CO2 1 244.0 3.763 0.0 2.65 2.1
CH2O 2 498.0 3.59 0.0 0.0 2.0
HCO 2 498.0 3.59 0.0 0.0 0.0
HO2CHO 2 436.0 3.97 0.0 0.0 2.0
HCOH 2 498.0 3.59 0.0 0.0 1.0
O2CHO 2 436.0 3.97 0.0 0.0 2.0
HOCHO 2 436.0 3.97 0.0 0.0 2.0
OCHO 2 498.0 3.59 0.0 0.0 2.0
HOCH2O 2 470.6 4.41 0.0 0.0 1.5
CH3OH 2 481.8 3.626 0.0 0.0 1.0
CH2OH 2 417.0 3.69 1.7 0.0 2.0
CH3O 2 417.0 3.69 1.7 0.0 2.0
CH3O2H 2 481.8 3.626 0.0 0.0 1.0
CH3O2 2 481.8 3.626 0.0 0.0 1.0
CH4 2 141.4 3.746 0.0 2.6 13.0
CH3 1 144.0 3.8 0.0 0.0 0.0
CH2 1 144.0 3.8 0.0 0.0 0.0
CH2(S) 1 144.0 3.8 0.0 0.0 0.0
CH 1 80.0 2.75 0.0 0.0 0.0
CH* 1 80.0 2.75 0.0 0.0 0.0
C2H6 2 247.5 4.35 0.0 0.0 1.5
C2H5 2 247.5 4.35 0.0 0.0 1.5
C2H4 2 238.4 3.496 0.0 0.0 1.5
C2H3 2 265.3 3.721 0.0 0.0 1.0
C2H2 1 265.3 3.721 0.0 0.0 2.5
C2H 1 265.3 3.721 0.0 0.0 2.5
CH3CHO 2 436.0 3.97 0.0 0.0 2.0
CH2CHO 2 436.0 3.97 0.0 0.0 2.0
CH2CO 2 436.0 3.97 0.0 0.0 2.0
HCCO 2 150.0 2.5 0.0 0.0 1.0
HCCOH 2 436.0 3.97 0.0 0.0 2.0
C2H5O2 2 470.6 4.41 0.0 0.0 1.5
C2H3CHO 2 428.8 4.958 2.9 0.0 1.0
C2H5CHO 2 435.2 4.662 2.7 0.0 1.0
HE 0 10.2 2.576 0.0 0.0 0.0
NC3H7 2 303.4 4.81 0.0 0.0 1.0
C3H6 2 307.8 4.14 0.0 0.0 1.0
C3H5-S 2 316.0 4.22 0.0 0.0 1.0
CH3CHCO 2 443.2 4.12 0.0 0.0 1.0
H2CC 2 209.0 4.1 0.0 0.0 2.5
END
